id,Location,AQI,Grade,Pollutant,Airquality,Year_Month,Day
357,西直门北大街,117,III,细颗粒物,轻度污染,2013-2,5
358,南三环西路,109,III,细颗粒物,轻度污染,2013-2,5
359,京东北密云水库,112,III,细颗粒物,轻度污染,2013-2,5
360,东城东四,84,II,细颗粒物,良,2013-2,6
361,西城万寿西宫,75,II,细颗粒物,良,2013-2,6
362,朝阳奥体中心,84,II,细颗粒物,良,2013-2,6
363,海淀北京植物园,47,I,-,优,2013-2,6
364,丰台花园,79,II,细颗粒物,良,2013-2,6
365,通州新城,124,III,细颗粒物,轻度污染,2013-2,6
366,怀柔镇,90,II,细颗粒物,良,2013-2,6
367,西直门北大街,75,II,细颗粒物,良,2013-2,6
368,南三环西路,88,II,细颗粒物,良,2013-2,6
369,京东北密云水库,57,II,细颗粒物,良,2013-2,6
370,东城东四,37,I,-,优,2013-2,7
371,西城万寿西宫,29,I,-,优,2013-2,7
372,朝阳奥体中心,33,I,-,优,2013-2,7
373,海淀北京植物园,43,I,-,优,2013-2,7
374,丰台花园,45,I,-,优,2013-2,7
375,通州新城,30,I,-,优,2013-2,7
376,怀柔镇,38,I,-,优,2013-2,7
377,西直门北大街,43,I,-,优,2013-2,7
378,南三环西路,53,II,二氧化氮,良,2013-2,7
379,京东北密云水库,37,I,-,优,2013-2,7
380,东城东四,75,II,细颗粒物,良,2013-2,8
381,西城万寿西宫,77,II,细颗粒物,良,2013-2,8
382,朝阳奥体中心,82,II,细颗粒物,良,2013-2,8
383,海淀北京植物园,79,II,细颗粒物,良,2013-2,8
384,丰台花园,83,II,细颗粒物,良,2013-2,8
385,通州新城,80,II,细颗粒物,良,2013-2,8
386,怀柔镇,52,II,细颗粒物,良,2013-2,8
387,西直门北大街,80,II,细颗粒物,良,2013-2,8
388,南三环西路,84,II,二氧化氮,良,2013-2,8
389,京东北密云水库,33,I,-,优,2013-2,8
390,东城东四,232,V,细颗粒物,重度污染,2013-2,9
391,西城万寿西宫,236,V,细颗粒物,重度污染,2013-2,9
392,朝阳奥体中心,192,IV,细颗粒物,中度污染,2013-2,9
393,海淀北京植物园,182,IV,细颗粒物,中度污染,2013-2,9
394,丰台花园,252,V,细颗粒物,重度污染,2013-2,9
395,通州新城,232,V,细颗粒物,重度污染,2013-2,9
396,怀柔镇,128,III,细颗粒物,轻度污染,2013-2,9
397,西直门北大街,230,V,细颗粒物,重度污染,2013-2,9
398,南三环西路,244,V,细颗粒物,重度污染,2013-2,9
399,京东北密云水库,63,II,细颗粒物,良,2013-2,9
400,东城东四,74,II,细颗粒物,良,2013-2,10
401,西城万寿西宫,92,II,细颗粒物,良,2013-2,10
402,朝阳奥体中心,62,II,细颗粒物,良,2013-2,10
403,海淀北京植物园,73,II,细颗粒物,良,2013-2,10
404,丰台花园,110,III,细颗粒物,轻度污染,2013-2,10
405,通州新城,128,III,细颗粒物,轻度污染,2013-2,10
406,怀柔镇,58,II,可吸入颗粒物,良,2013-2,10
407,西直门北大街,92,II,细颗粒物,良,2013-2,10
408,南三环西路,92,II,细颗粒物,良,2013-2,10
409,京东北密云水库,34,I,-,优,2013-2,10
410,东城东四,80,II,细颗粒物,良,2013-2,11
411,西城万寿西宫,89,II,细颗粒物,良,2013-2,11
412,朝阳奥体中心,79,II,细颗粒物,良,2013-2,11
413,海淀北京植物园,70,II,细颗粒物,良,2013-2,11
414,丰台花园,100,II,细颗粒物,良,2013-2,11
415,通州新城,144,III,细颗粒物,轻度污染,2013-2,11
416,怀柔镇,74,II,细颗粒物,良,2013-2,11
417,西直门北大街,85,II,细颗粒物,良,2013-2,11
418,南三环西路,102,III,细颗粒物,轻度污染,2013-2,11
419,京东北密云水库,60,II,细颗粒物,良,2013-2,11
420,东城东四,163,IV,细颗粒物,中度污染,2013-2,12
421,西城万寿西宫,179,IV,细颗粒物,中度污染,2013-2,12
422,朝阳奥体中心,143,III,细颗粒物,轻度污染,2013-2,12
423,海淀北京植物园,117,III,细颗粒物,轻度污染,2013-2,12
424,丰台花园,189,IV,细颗粒物,中度污染,2013-2,12
425,通州新城,168,IV,细颗粒物,中度污染,2013-2,12
426,怀柔镇,130,III,细颗粒物,轻度污染,2013-2,12
427,西直门北大街,156,IV,细颗粒物,中度污染,2013-2,12
428,南三环西路,195,IV,细颗粒物,中度污染,2013-2,12
429,京东北密云水库,99,II,细颗粒物,良,2013-2,12
430,东城东四,327,VI,细颗粒物,重度污染,2013-2,13
431,西城万寿西宫,331,VI,细颗粒物,重度污染,2013-2,13
432,朝阳奥体中心,313,VI,细颗粒物,重度污染,2013-2,13
433,海淀北京植物园,275,V,细颗粒物,重度污染,2013-2,13
434,丰台花园,333,VI,细颗粒物,重度污染,2013-2,13
435,通州新城,340,VI,细颗粒物,重度污染,2013-2,13
436,怀柔镇,277,V,细颗粒物,重度污染,2013-2,13
437,西直门北大街,330,VI,细颗粒物,重度污染,2013-2,13
438,南三环西路,346,VI,细颗粒物,重度污染,2013-2,13
439,京东北密云水库,222,V,细颗粒物,重度污染,2013-2,13
440,东城东四,97,II,细颗粒物,良,2013-2,14
441,西城万寿西宫,109,III,细颗粒物,轻度污染,2013-2,14
442,朝阳奥体中心,74,II,细颗粒物,良,2013-2,14
443,海淀北京植物园,69,II,细颗粒物,良,2013-2,14
444,丰台花园,112,III,细颗粒物,轻度污染,2013-2,14
445,通州新城,140,III,细颗粒物,轻度污染,2013-2,14
